,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished
398,477,477,combined,sub11,0.0,-3.577396461529182,2.03298525163746,-3.12,1.8,0-14-24,0,0.0,0.0,-0.0158619394839931,0.0729639375481844,-3.472136142491636,1.835352727992441,252,True
394,473,473,combined,sub05,0.0,2.8551957027676567,0.5591561729360738,3.12,1.8,3-5-24,3,0.0,0.0,-0.0615595091830968,0.0268597721557834,3.52365593241363,1.136719459002067,196,True
270,321,321,combined,sub03,0.0,1.4009597112847416,2.5423670632678426,1.8,3.12,2-8-24,2,0.0,0.0,0.0650269423400958,0.0740992357192095,1.618430052408307,3.6480897635857934,211,True
267,318,318,combined,sub08,0.0,-2.271485283007499,2.09733801181006,-1.8,3.12,1-20-24,1,0.0,0.0,0.0884852365263793,0.0098523971832309,-2.9999178522475898,2.2394381478079395,544,True
261,311,311,combined,sub05,0.0,-2.493315048626757,3.989997619497992,-1.8,3.12,1-19-24,1,0.0,0.0,0.0626218648370382,0.0377971638434827,-3.1789550212225155,3.1376848020848,261,True
255,305,305,combined,sub05,0.0,1.6545301414493143,3.0617639154354066,1.8,3.12,2-11-24,2,0.0,0.0,-0.0439411896892831,0.0672038819357226,1.1443811533045647,3.520074666498618,495,True
254,304,304,combined,sub01,0.0,-3.3877436644598493,1.6076526436780645,-3.12,1.8,0-14-24,0,0.0,0.0,0.0056277943030629,0.0690895291877516,-2.962888626785487,1.898681018850696,215,True
984,1166,1166,combined,sub03,0.0,2.4074578332022627,1.8526860183111369,1.8,3.12,2-6-24,2,0.0,0.0,-0.1119559586308998,-0.0369973333454391,2.0568606510684617,2.9474499985093603,210,True
384,461,461,combined,sub08,0.0,1.751030142485572,2.4101551745329703,1.8,3.12,2-6-24,2,0.0,0.0,-0.042231995116683,0.0837307066370613,1.999273761628995,2.7849158240768923,337,True
380,457,457,combined,sub08,0.0,-3.799788064305056,0.9154695559738762,-3.12,1.8,0-21-24,0,0.0,0.0,0.1157142856096132,0.0285215169730363,-3.627178863558268,1.4454861278911937,602,True
968,1144,1144,combined,sub08,0.0,2.684277215897712,0.0333227541548809,3.12,1.8,3-7-24,3,0.0,0.0,-0.0842262151627029,0.0263986458215323,2.202962905666068,1.598068588993803,746,True
371,446,446,combined,sub08,0.0,3.112207844579059,1.6905865288320063,3.12,1.8,3-7-24,3,0.0,0.0,-0.0306304853733663,0.1092477347449534,4.310899898377073,2.1976161265181635,576,True
975,1154,1154,combined,sub03,0.0,-2.5803640549776348,2.063428891175254,-1.8,3.12,1-23-24,1,0.0,0.0,0.0615646881796288,-0.0514118773460155,-1.1473330831910775,2.896286090965003,240,True
362,434,434,combined,sub08,0.0,0.7876163517682149,4.469148129546717,1.8,3.12,2-10-24,2,0.0,0.0,-0.0767910306922211,0.0507354126251714,1.8250235379240591,3.0595337651649337,376,True
355,427,427,combined,sub01,0.0,-3.2244211945162045,1.618515900995875,-3.12,1.8,0-17-24,0,0.0,0.0,0.0119255130597103,0.0772357366117364,-3.5548302929004807,1.50849110206934,216,True
342,412,412,combined,sub11,0.0,-0.7872128614347088,2.1522952431290427,-1.8,3.12,1-18-24,1,0.0,0.0,0.0649861478644608,0.0732626042179175,-1.4058840465717504,3.0227339926428423,853,True
337,406,406,combined,sub03,0.0,-0.7486651328743125,3.1524338887912373,-1.8,3.12,1-23-24,1,0.0,0.0,0.0646751425677722,0.086401080799946,-1.8747742101665488,2.6306872703229423,549,True
361,433,433,combined,sub08,0.0,-1.9050947548401491,1.3721980491424126,-3.12,1.8,0-15-24,0,0.0,0.0,0.0802503175736545,0.0841236498757402,-4.289940962395827,1.3383989007532406,266,True
527,627,627,combined,sub11,0.0,-2.26457957565146,2.172844775068307,-1.8,3.12,1-23-24,1,0.0,0.0,0.0687347999987134,0.0043306711851031,-1.912236298886852,3.0877478383267705,361,True
832,987,987,combined,sub05,0.0,1.2505171844771807,4.306199145849937,1.8,3.12,2-4-24,2,0.0,0.0,-0.1071027242889875,0.0388377742651383,1.9119945267280405,3.515459480766455,279,True
835,991,991,combined,sub08,0.0,-2.5356653915203484,2.6573624196357013,-1.8,3.12,1-20-24,1,0.0,0.0,0.0450423033135985,0.0903026397542629,-2.542396180130232,2.421888530866263,516,True
840,996,996,combined,sub05,0.0,2.6593856720693587,1.4862163641807535,3.12,1.8,3-5-24,3,0.0,0.0,-0.099387820779195,0.0188139898017867,2.832409491517653,1.5463558949612868,207,True
843,1000,1000,combined,sub05,0.0,-2.9273192700229944,0.6513157078974361,-3.12,1.8,0-17-24,0,0.0,0.0,0.0849633832350921,-0.013045665568041,-3.014458537702084,2.0149297344765404,704,True
698,832,832,combined,sub03,0.0,-2.5351525786726428,2.340023550945852,-1.8,3.12,1-22-24,1,0.0,0.0,0.0909118407634428,0.0122855223495485,-2.59025790368687,2.753824829110086,250,True
697,831,831,combined,sub01,0.0,2.891546717034431,2.463141255318422,3.12,1.8,3-9-24,3,0.0,0.0,-0.0275421896376248,0.046833540416934,2.807635965228437,2.1459716280424725,247,True
694,828,828,combined,sub05,0.0,-2.1308353162559204,1.8085703019906016,-3.12,1.8,0-14-24,0,0.0,0.0,-0.0213844238008022,0.0270123384770125,-3.468210038125835,1.806536964384542,341,True
692,825,825,combined,sub11,0.0,-1.889106294750017,2.6063672755532394,-1.8,3.12,1-22-24,1,0.0,0.0,0.0490687498663055,0.02791196336827,-1.9212702431722368,2.545508215505852,570,True
690,822,822,combined,sub08,0.0,-3.917020005421308,1.5897500865091476,-3.12,1.8,0-17-24,0,0.0,0.0,0.0802738234331467,0.046238397904769,-3.325986406735044,1.581445568726195,202,True
736,874,874,combined,sub11,0.0,-1.8662693071900944,2.005461871052641,-3.12,1.8,0-14-24,0,0.0,0.0,-0.0342159228475284,0.084720139563572,-4.328688583812308,1.4122750054481916,647,True
737,875,875,combined,sub08,0.0,-0.789612140160162,0.4266099999071463,-3.12,1.8,0-16-24,0,0.0,0.0,-0.077149638112581,0.0397413875998529,-2.031527028697727,2.246841280384476,791,True
797,943,943,combined,sub05,0.0,2.3866100821096548,3.04874403729156,3.12,1.8,3-9-24,3,0.0,0.0,-0.0115761347383877,0.0083971683124585,3.2699123165279618,2.028133145166493,472,True
794,940,940,combined,sub01,0.0,-2.0506363469036204,4.391701624364945,-1.8,3.12,1-23-24,1,0.0,0.0,0.0600558947965946,0.0391500777456893,-3.326375065200127,2.9535197687506334,233,True
789,935,935,combined,sub11,0.0,2.2480764786453578,2.0440132978420844,3.12,1.8,3-5-24,3,0.0,0.0,-0.1064193590259134,0.0646253705201884,2.5034061537395997,2.0527410172157734,551,True
786,931,931,combined,sub01,0.0,2.2061315446920533,3.8597093898436015,1.8,3.12,2-4-24,2,0.0,0.0,-0.064420464197573,0.0272273491543217,2.9573780334847424,2.631403144874634,484,True
780,925,925,combined,sub03,0.0,-3.9376127434525383,1.2884836149197023,-3.12,1.8,0-21-24,0,0.0,0.0,0.0931415134782164,0.0318299122419433,-3.527499482359416,1.633504961329069,611,True
812,962,962,combined,sub05,0.0,1.936687325976312,2.6677181554307583,1.8,3.12,2-10-24,2,0.0,0.0,-0.1091800758035211,0.0342319304632327,3.809783908443824,2.034539380010323,211,True
773,916,916,combined,sub01,0.0,-1.2933309993531348,2.8013202961936265,-1.8,3.12,1-19-24,1,0.0,0.0,0.0999697136043113,-0.0082166485056924,-2.6910896842935537,3.119052761456968,723,True
813,963,963,combined,sub05,0.0,-3.554245671731087,0.2652048113848163,-3.12,1.8,0-16-24,0,0.0,0.0,0.0402390568746012,0.0221089655069085,-2.9033857802930374,1.5683721041347949,544,True
769,910,910,combined,sub03,0.0,2.435737325841336,1.0553289204144107,3.12,1.8,3-9-24,3,0.0,0.0,-0.1005349885982301,0.035560329648596,2.568758262203361,2.2647911648779,217,True
760,901,901,combined,sub01,0.0,3.1319122393460783,2.1073516334774225,3.12,1.8,3-12-24,3,0.0,0.0,-0.035881697349572,0.0677788585405639,4.0663742716832285,0.8467219809731524,534,True
744,882,882,combined,sub08,0.0,2.7311278897858293,2.057927835926613,3.12,1.8,3-13-24,3,0.0,0.0,-0.049393857402714,0.0620225544635174,3.869430455825013,1.6405153236546577,201,True
743,881,881,combined,sub01,0.0,-2.716627415567823,2.317310880476625,-1.8,3.12,1-20-24,1,0.0,0.0,0.0190840398223478,0.0702480966109288,-2.2617813780855944,3.374376348713389,663,True
775,919,919,combined,sub05,0.0,-3.299987361178866,2.692160345392521,-3.12,1.8,0-16-24,0,0.0,0.0,0.1046531043694273,0.0370172646391055,-3.418584365484305,1.6262465451477122,570,True
236,280,280,combined,sub08,0.0,4.717494005298634,1.2684706345804226,3.12,1.8,3-9-24,3,0.0,0.0,-0.0340971540040408,0.066116135074899,3.290275574987651,1.333686621873977,267,True
669,795,795,combined,sub11,0.0,2.811779053838245,2.2770074982238637,1.8,3.12,2-6-24,2,0.0,0.0,0.0128878614907092,0.0720871667311106,3.140051502304544,3.5478676419511346,595,True
883,1047,1047,combined,sub03,0.0,-2.255770279619449,3.3896339106370097,-1.8,3.12,1-19-24,1,0.0,0.0,0.0303332751846011,0.0727810521131361,-1.6840696154789758,3.386850095694229,283,True
563,671,671,combined,sub11,0.0,1.0355012390225344,3.428240460683425,1.8,3.12,2-10-24,2,0.0,0.0,-0.0541263689962888,0.0609276112064001,2.652366856325621,2.7987333280718274,365,True
562,670,670,combined,sub11,0.0,-3.9403671254361776,1.3081359150032312,-3.12,1.8,0-17-24,0,0.0,0.0,0.024766443139642,0.07809507678113,-3.236016017618091,1.8964684928042488,239,True
561,669,669,combined,sub03,0.0,0.941947843174034,2.395528338287068,1.8,3.12,2-11-24,2,0.0,0.0,-0.0738810367735385,0.0324808084683738,1.96708204960954,2.767281525703923,264,True
551,657,657,combined,sub03,0.0,4.748391743461281,1.2997776163780803,3.12,1.8,3-12-24,3,0.0,0.0,0.0248535438977292,0.0240102077149033,3.692506644912057,1.8117461910072723,250,True
1087,1284,1284,combined,sub05,0.0,2.0982851703347136,2.102212852741736,1.8,3.12,2-4-24,2,0.0,0.0,-0.0781719566750356,-0.010223740751678,2.327442764413349,2.98795261662163,286,True
536,638,638,combined,sub01,0.0,2.862422556399401,1.3237453660747849,3.12,1.8,3-13-24,3,0.0,0.0,-0.0426823071383702,0.0889779112528227,3.275137106025144,1.2563682558145537,363,True
900,1066,1066,combined,sub01,0.0,1.793418782395193,3.662318684086935,1.8,3.12,2-6-24,2,0.0,0.0,-0.122193421387752,0.0208499525990638,2.6894082200755824,3.0357855390673643,257,True
881,1045,1045,combined,sub01,0.0,2.41046746673216,1.7883901609177577,3.12,1.8,3-12-24,3,0.0,0.0,-0.0255137758041185,0.0771734157506723,2.323093703132061,2.7341402607352885,402,True
593,704,704,combined,sub03,0.0,-3.1322791012671645,2.656243659550698,-3.12,1.8,0-16-24,0,0.0,0.0,0.0176939680485175,0.0737196575898908,-4.031428867585923,1.31033828374815,254,True
595,707,707,combined,sub08,0.0,2.324536889344,2.3233411494339027,1.8,3.12,2-11-24,2,0.0,0.0,-0.1073932418074022,0.0399615674533352,2.117860509608113,2.572060948419382,292,True
660,785,785,combined,sub11,0.0,-1.83465099242604,2.685699891345677,-1.8,3.12,1-19-24,1,0.0,0.0,0.0447545663975626,0.042053205582747,-1.51999483756084,2.9551947107420613,198,True
656,780,780,combined,sub05,0.0,2.637370314743611,2.411026098045043,1.8,3.12,2-8-24,2,0.0,0.0,-0.0670200972165737,0.095370247071472,1.6637973270733133,2.978498871207104,236,True
651,775,775,combined,sub11,0.0,3.7016144602766254,3.0816206758385003,3.12,1.8,3-9-24,3,0.0,0.0,-0.0397276979736935,0.0955325012163484,3.54461548883544,1.091957968412954,359,True
639,761,761,combined,sub03,0.0,-1.940588125113348,3.36725074462058,-1.8,3.12,1-22-24,1,0.0,0.0,0.1061600743220859,-0.0256488952368266,-1.4266716122277772,3.05996141745994,191,True
637,759,759,combined,sub01,0.0,1.8259544071602936,0.3858277956427615,3.12,1.8,3-9-24,3,0.0,0.0,-0.0585544882439139,0.059546688984481,3.2236869688879177,2.052283129227614,624,True
621,741,741,combined,sub05,0.0,-4.764350665312353,3.0114998272253684,-3.12,1.8,0-15-24,0,0.0,0.0,-0.0135628961936043,0.1015681327468973,-3.427751434649439,1.4331993072949711,584,True
877,1040,1040,combined,sub11,0.0,3.400453315392977,1.432576467393833,3.12,1.8,3-13-24,3,0.0,0.0,-0.014338761424842,0.0835091548890658,3.512016891521803,0.8887091040620896,227,True
878,1041,1041,combined,sub08,0.0,5.595780446746954,3.3493436654846414,3.12,1.8,3-13-24,3,0.0,0.0,-0.0868992895346011,-0.0293835733916211,2.487698655118688,3.18743785678844,309,True
233,277,277,combined,sub08,0.0,-3.4918742173490585,1.3324585780085634,-3.12,1.8,0-16-24,0,0.0,0.0,0.0669934492634315,0.0954451517374416,-3.5806116350572785,1.3341221858712011,269,True
205,243,243,combined,sub08,0.0,2.3203661518512404,2.640376964514826,1.8,3.12,2-6-24,2,0.0,0.0,-0.0363530004847287,0.0997969434882936,0.889263566637833,2.9299349663869005,326,True
149,181,181,combined,sub08,0.0,0.7194168717200871,3.5999762666727726,1.8,3.12,2-8-24,2,0.0,0.0,-0.0973366786491445,0.0501281402387853,2.011320589057537,3.16280441922833,430,True
38,45,45,combined,sub01,0.0,2.6120393170534038,1.1926950131736669,3.12,1.8,3-5-24,3,0.0,0.0,-0.0395085656907946,0.0207634707695965,3.105062010844956,1.4389033712562374,376,True
147,178,178,combined,sub01,0.0,-3.6203497679543486,1.8667961028705584,-3.12,1.8,0-15-24,0,0.0,0.0,-0.0051474766617053,0.0618110856654295,-4.100452011414027,1.7768923559709264,227,True
1072,1267,1267,combined,sub05,0.0,0.8610039515897875,5.047960212052628,1.8,3.12,2-6-24,2,0.0,0.0,-0.0738675280632688,-0.0446292793171843,1.789510919511374,3.6787852592616206,233,True
98,116,116,combined,sub01,0.0,-2.8842312181336625,-0.9236156590006486,-3.12,1.8,0-17-24,0,0.0,0.0,0.115508644313222,0.0134191364660873,-3.2237592239593598,1.5060197154411028,689,True
1029,1215,1215,combined,sub11,0.0,-2.4220519030491925,0.6003534740355144,-1.8,3.12,1-23-24,1,0.0,0.0,0.1220933306290529,-0.0222579507075814,-1.1410869937620989,3.1079486008283568,351,True
144,173,173,combined,sub03,0.0,1.2807880894930534,3.8223971010079634,3.12,1.8,3-7-24,3,0.0,0.0,0.0245707943726438,0.1195426438448258,2.968032307234928,1.9268610555687289,331,True
210,248,248,combined,sub11,0.0,-2.246773961355812,1.3145248432373866,-1.8,3.12,1-22-24,1,0.0,0.0,0.03038225207295,0.0522977151960754,-2.022336125983247,2.9292423516723947,282,True
34,41,41,combined,sub03,0.0,1.62670715798275,1.9923100512459144,1.8,3.12,2-4-24,2,0.0,0.0,0.013666835370023,0.1001575047985342,1.1801735879789337,2.852501690239121,509,True
211,249,249,combined,sub03,0.0,3.7785679255397606,0.3665670548692623,3.12,1.8,3-13-24,3,0.0,0.0,0.0032694821255004,0.0860194441146215,2.890279533765544,2.5018550843139664,233,True
103,122,122,combined,sub05,0.0,3.3637296175366966,1.4407503201107796,1.8,3.12,2-6-24,2,0.0,0.0,-0.11337867669901,-0.046666735866491,1.7844163167164262,2.74114563028986,730,True
33,40,40,combined,sub05,0.0,-2.399045463499597,3.704238514558019,-1.8,3.12,1-20-24,1,0.0,0.0,0.0653134241069689,-0.0724382110148884,-2.5640134898347253,2.885674851047402,351,True
203,241,241,combined,sub01,0.0,-1.6526170766382124,5.083983252151609,-3.12,1.8,0-16-24,0,0.0,0.0,0.0721801640548908,0.0643592375955049,-3.3837200557838214,1.4962377752338782,569,True
1058,1247,1247,combined,sub11,0.0,0.9101896653529516,3.7425217543722913,1.8,3.12,2-8-24,2,0.0,0.0,-0.0861244707578137,0.0142651194543251,1.9017416600457464,2.832229062351152,229,True
184,220,220,combined,sub01,0.0,-2.0433616332398428,1.4585646003603576,-3.12,1.8,0-15-24,0,0.0,0.0,0.0598735301073006,0.0446986838305507,-2.9268246559173177,2.2930900123548428,728,True
86,102,102,combined,sub01,0.0,-3.1198442881142032,1.7949907145890964,-1.8,3.12,1-22-24,1,0.0,0.0,0.0571716249413953,0.0213774340059557,-1.6528039825740055,3.130283743832585,504,True
1057,1245,1245,combined,sub08,0.0,-2.932261456506114,2.0465287974496995,-3.12,1.8,0-21-24,0,0.0,0.0,0.0289358018484129,0.1020779840433166,-3.489979931050826,1.6304502125970175,272,True
51,59,59,combined,sub01,0.0,-2.037889795700792,2.7144129626443894,-1.8,3.12,1-22-24,1,0.0,0.0,0.0943422794174404,0.046745898076204,-2.247055001115638,2.550985916271604,208,True
195,232,232,combined,sub05,0.0,-2.752262006655211,1.271527541794875,-3.12,1.8,0-17-24,0,0.0,0.0,0.0456125199626908,0.0828915246742375,-3.28420437966014,1.2374453901587157,448,True
196,233,233,combined,sub01,0.0,-1.3330874255716585,3.493326491477009,-1.8,3.12,1-19-24,1,0.0,0.0,6.785339270574302e-05,0.1192277617961457,-1.1840995981609057,3.090371148504841,741,True
197,234,234,combined,sub11,0.0,3.663961567923735,1.3586904568753564,3.12,1.8,3-12-24,3,0.0,0.0,-0.0645419281440713,0.0661944635452657,3.758619243150694,1.4470026843443753,284,True
96,113,113,combined,sub08,0.0,-2.4595328048525107,3.1158831942493745,-1.8,3.12,1-19-24,1,0.0,0.0,0.0189233412159485,0.0550064119645893,-2.1744570378141663,3.2734743958662347,243,True
48,56,56,combined,sub05,0.0,-3.405969804689048,1.0427359987354536,-3.12,1.8,0-15-24,0,0.0,0.0,0.0124112609859295,0.0769554021468703,-4.032490355093791,1.5464629184712515,239,True
47,55,55,combined,sub08,0.0,2.5610381525328534,3.189386686021084,1.8,3.12,2-11-24,2,0.0,0.0,-0.0605159695903172,0.0602357007832546,0.6674552047541542,3.809044363069436,228,True
45,53,53,combined,sub01,0.0,3.005474658294165,2.7555012246064687,1.8,3.12,2-4-24,2,0.0,0.0,-0.0599759830091462,0.0470312186010391,3.274078722837903,2.333897807881012,580,True
97,114,114,combined,sub01,0.0,-2.8743822974006727,0.1107670178483537,-3.12,1.8,0-16-24,0,0.0,0.0,0.0084838310406861,0.0492940644913245,-3.3158665437917407,1.6651826348363166,359,True
25,31,31,combined,sub03,0.0,3.847417848847521,1.3077756733587285,3.12,1.8,3-13-24,3,0.0,0.0,0.0140883728538995,0.0720330123047306,2.6877522635279973,2.015121804430048,197,True
1080,1276,1276,combined,sub03,0.0,-1.9343600318444107,0.4311785478223051,-3.12,1.8,0-15-24,0,0.0,0.0,0.0636397387925375,0.0341195385064167,-2.650224625940359,2.1521885426937213,340,True
222,264,264,combined,sub03,0.0,-3.843106697185688,-0.4110603739166001,-3.12,1.8,0-17-24,0,0.0,0.0,0.0524896584097788,0.0128673937887512,-4.028253912614163,0.3534502996389935,291,True
15,20,20,combined,sub01,0.0,-2.1533142035442805,1.2776610814789484,-1.8,3.12,1-23-24,1,0.0,0.0,-0.0999086165127222,0.0285756767796756,-1.5380806963617633,2.922326887083952,683,True
114,136,136,combined,sub01,0.0,1.744263475889252,2.605339467600432,1.8,3.12,2-8-24,2,0.0,0.0,-0.0741981489472453,0.1001687804130786,1.7793316412408249,3.574123533419425,341,True
14,18,18,combined,sub08,0.0,-0.0440604260695771,3.8294770859312495,1.8,3.12,2-10-24,2,0.0,0.0,-0.0048164382693427,0.0577263616869424,2.1183909356577875,3.1412902131951554,236,True
13,16,16,combined,sub01,0.0,-2.57376418276912,3.8714690816698742,-1.8,3.12,1-18-24,1,0.0,0.0,0.0652013443030758,0.0765343199209743,-2.084163312590055,2.512752120255426,367,True
12,15,15,combined,sub05,0.0,-3.10941016078421,2.839582208107291,-3.12,1.8,0-21-24,0,0.0,0.0,0.1179989965116897,-0.0147473995250735,-2.587263573705775,2.153488206526935,392,True
220,258,258,combined,sub05,0.0,3.193527590918128,2.8938699154200287,3.12,1.8,3-12-24,3,0.0,0.0,0.0198732341855279,0.0244341410441473,2.589059716812848,2.64662028894535,783,True
226,269,269,combined,sub11,0.0,-2.78472718896412,2.8576852230968988,-3.12,1.8,0-17-24,0,0.0,0.0,0.0416568932250334,0.020587057160429,-3.8906181779572457,1.1632374609570553,491,True
227,270,270,combined,sub01,0.0,2.2110626630178745,2.786222645189243,1.8,3.12,2-6-24,2,0.0,0.0,-0.1121465481239081,-0.0001572927698943,2.5177822870147466,2.886692653727347,199,True
117,141,141,combined,sub03,0.0,1.812697108582328,2.688637560839382,1.8,3.12,2-6-24,2,0.0,0.0,-0.0679925353590206,0.0808793290332021,2.012902920444843,3.19777431395087,243,True
1046,1233,1233,combined,sub08,0.0,-1.0008335427069643,2.033262545151914,-1.8,3.12,1-22-24,1,0.0,0.0,0.0320053795030263,0.0811708885857787,-1.935388351217627,3.0442532129659483,243,True
231,274,274,combined,sub01,0.0,1.5239934569446756,3.176396691699792,1.8,3.12,2-11-24,2,0.0,0.0,-0.0860637800204158,0.0297447731657297,1.959817551845499,2.950391165327712,418,True
116,140,140,combined,sub05,0.0,2.665462838419328,1.7386682762429786,3.12,1.8,3-13-24,3,0.0,0.0,-0.0302186717963441,0.0493419909940683,2.9345480622357782,1.8169757125481525,234,True
19,24,24,combined,sub11,0.0,-4.508462550704473,0.9138291149398424,-3.12,1.8,0-16-24,0,0.0,0.0,0.0504891154028463,0.0305339602983121,-4.122811744679139,0.7599203000252178,271,True
1050,1238,1238,combined,sub11,0.0,-1.5331985468835072,2.749803374142569,-1.8,3.12,1-20-24,1,0.0,0.0,0.0945927099633756,0.0266723037135061,-2.7131339941335324,2.954730552251536,764,True
110,131,131,combined,sub08,0.0,-1.3692320619542229,1.8436948276695264,-3.12,1.8,0-14-24,0,0.0,0.0,0.0270252991540151,0.0661629392796776,-2.194173405954731,2.0407206076014366,188,True
112,134,134,landmark,sub03,0.0,-3.784677442053429,2.1506144952091866,-3.12,1.8,0-17-24,0,0.0,0.0,-0.5674586845299271,-0.1601573144064611,-3.716370196258069,1.404489203069826,368,True
875,1038,1038,landmark,sub05,0.0,1.4471653397171105,3.420777495026573,1.8,3.12,2-6-24,2,0.0,0.0,0.2472202432703432,-0.1474821414309022,3.10214960633286,2.93709198444677,273,True
516,613,613,landmark,sub05,0.0,-0.7039389267152079,1.0955373346476516,-1.8,3.12,1-18-24,1,0.0,0.0,-0.4894721550722403,-0.1724888488769982,-1.254339989686055,2.6042907024806383,820,True
601,714,714,landmark,sub05,0.0,2.665733422430925,-0.1952724602249845,3.12,1.8,3-7-24,3,0.0,0.0,-0.223599863600988,0.5546355895082394,3.4075487526621324,1.5377741914391916,408,True
599,712,712,landmark,sub03,0.0,-3.1746871034858675,2.075154041963644,-3.12,1.8,0-21-24,0,0.0,0.0,0.8766537738077324,-0.0847057969236978,-3.4143950314911717,2.118172858200396,327,True
906,1072,1072,landmark,sub03,0.0,-1.6965933720424724,3.0441363799526098,-1.8,3.12,1-18-24,1,0.0,0.0,0.0162251960926837,0.1607180859549351,-2.082407770759572,2.692961807502677,808,True
520,618,618,landmark,sub08,0.0,0.8022127107632816,3.2857192596585216,-1.8,3.12,1-20-24,1,0.0,0.0,-0.8586562771051509,-0.7209343916931169,-0.9881161840302622,3.270695213967062,352,True
548,653,653,landmark,sub01,0.0,4.6120782328582415,2.35712621496268,3.12,1.8,3-13-24,3,0.0,0.0,0.1568286740155721,0.5560286718140985,3.10409924090034,2.4780292093523824,664,True
